69.6	158.57	147.06	244.26	66.81	77.64	137.16	134.47	100.14	78.84
187.13	49.25	196.76	387.95	141.64	156.87	174.08	276.39	125.92	178.81
57.71	106.26	118.54	157.6	54.21	66.2	209.81	115.05	162.35	101.58
123.4	0.0	69.05	0.0	75.93	126.48	0.0	70.24	192.63	76.39
78.1	152.86	117.89	166.29	90.17	71.76	128.17	141.95	91.62	97.98
97.0	61.18	0.0	0.0	132.3	55.07	0.0	0.0	76.5	136.61
145.03	89.91	89.42	176.43	133.59	143.48	86.09	113.65	128.23	130.41
63.78	97.55	93.5	118.83	53.4	57.94	92.25	139.38	58.95	59.42
155.36	73.7	75.56	213.44	171.13	141.87	76.18	46.97	89.74	123.61
79.63	180.35	159.89	186.81	68.41	71.9	126.98	126.88	82.02	95.08
57.34	141.83	111.45	166.61	56.67	80.17	118.02	126.04	72.66	87.15
25.98	0.0	0.0	0.0	25.97	0.0	0.0	0.0	0.0	0.0
110.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	128.53
140.49	96.42	105.57	176.54	141.53	135.69	43.48	93.07	125.67	114.49
65.85	150.08	167.29	208.38	78.91	101.17	68.1	72.06	109.19	80.94
64.28	156.37	99.82	158.87	55.79	76.84	138.16	144.47	92.8	90.03
