@relation 'P1BotAgent-freq_1-1803_120855-training-weka.filters.unsupervised.attribute.Remove-R1-8,21-26,33-36,38-40'

@attribute nearestEnemyLeftDistance numeric
@attribute nearestEnemyLef_X numeric
@attribute nearestEnemyLeft_Y numeric
@attribute nearestEnemyRightDistance numeric
@attribute nearestEnemyRight_X numeric
@attribute nearestEnemyRight_Y numeric
@attribute nearestBlockLeftDistance numeric
@attribute nearestBlockLeft_X numeric
@attribute nearestBlockLeft_Y numeric
@attribute nearestBlockRightDistance numeric
@attribute nearestBlockRight_X numeric
@attribute nearestBlockRight_Y numeric
@attribute enemyNearRight {0,1}
@attribute blockNearRight {0,1}
@attribute enemyAheadOnFloorHeight {0,1}
@attribute blockAheadOnFloorHeight {0,1}
@attribute isMarioOnGround {0,1}
@attribute isMarioAbleToJump {0,1}
@attribute isSlopeDown {0,1}
@attribute actionKey {0,1,2,3}

@data
12.728,0,0,8,17,9,12.728,0,0,12.728,18,18,0,0,0,0,0,0,0,2
12.728,0,0,7.071,16,8,12.728,0,0,6,15,9,0,0,0,0,0,0,0,2
12.728,0,0,7.071,16,8,12.728,0,0,6,15,9,0,0,0,0,0,0,0,2
12.728,0,0,7.071,16,8,12.728,0,0,6,15,9,0,0,0,0,1,0,1,2
12.728,0,0,7.071,16,8,12.728,0,0,6,15,9,0,0,0,0,1,1,1,2
12.728,0,0,5.385,14,7,1,8,9,5,14,9,0,0,0,1,0,1,0,2
12.728,0,0,5.385,14,7,1,8,9,5,14,9,0,0,0,1,1,0,0,2
12.728,0,0,5.385,14,7,1,8,9,5,14,9,0,0,0,1,1,1,0,2
12.728,0,0,4.472,13,7,2,7,9,4,13,9,0,0,0,1,1,1,0,2
12.728,0,0,4.472,13,7,2,7,9,4,13,9,0,0,0,1,1,1,0,2
12.728,0,0,4.472,13,7,2,7,9,4,13,9,0,0,0,1,1,1,0,2
12.728,0,0,3.606,12,7,3,6,9,3,12,9,0,0,0,1,1,1,0,2
12.728,0,0,3.606,12,7,3,6,9,3,12,9,0,0,0,1,1,1,0,2
12.728,0,0,3.606,12,7,3,6,9,3,12,9,0,0,0,1,1,1,0,2
12.728,0,0,2.236,10,7,4,5,9,2,11,9,0,1,0,1,1,1,0,2
12.728,0,0,2.236,10,7,4,5,9,2,11,9,0,1,0,1,0,0,0,3
12.728,0,0,1.414,10,8,12.728,0,0,2,11,9,1,1,0,1,0,0,0,3
0,9,9,12.728,18,18,12.728,0,0,6,15,9,0,0,0,1,0,0,0,3
2,9,11,12.728,18,18,12.728,0,0,8.602,14,2,0,0,0,0,0,0,0,3
2,9,11,12.728,18,18,12.728,0,0,8.602,14,2,0,0,0,0,0,0,0,2
2.236,8,11,9.849,18,13,12.728,0,0,8.062,13,2,0,0,0,0,0,0,0,2
3.162,8,12,9.849,18,13,12.728,0,0,8.062,13,2,0,0,0,0,0,0,0,2
3.162,8,12,9.849,18,13,12.728,0,0,8.062,13,2,0,0,0,0,0,0,0,2
2.828,7,11,8.544,17,12,12.728,0,0,4,13,9,0,0,0,1,0,0,0,2
3.606,6,11,9.487,18,12,12.728,0,0,4,13,9,0,0,0,1,1,0,0,2
3.606,6,11,9.487,18,12,12.728,0,0,4,13,9,0,0,0,1,1,1,0,2
4.472,5,11,8.544,17,12,12.728,0,0,3,12,9,0,0,0,1,1,1,0,2
4.472,5,11,8.544,17,12,12.728,0,0,3,12,9,0,0,0,1,1,1,0,2
4.472,5,11,8.544,17,12,12.728,0,0,3,12,9,0,0,0,1,1,1,0,2
5.385,4,11,7.616,16,12,12.728,0,0,2,11,9,0,1,0,1,1,1,0,2
5.385,4,11,7.616,16,12,12.728,0,0,2,11,9,0,1,0,1,0,0,0,3
5.831,4,12,8.062,16,13,12.728,0,0,7.071,10,2,0,0,0,1,0,0,0,3
7.211,3,13,7.81,15,14,6,9,3,6.083,10,3,0,0,0,0,0,0,0,3
8.062,2,13,7.81,15,14,6,9,3,6.083,10,3,0,0,0,0,0,0,0,2
9.434,1,14,7.81,14,15,5,9,4,7.071,16,8,0,0,0,0,0,0,0,2
8.944,1,13,7.071,14,14,6,9,3,7.28,16,7,0,0,0,0,0,0,0,2
8.944,1,13,7.071,14,14,6,9,3,7.28,16,7,0,0,0,0,0,0,0,2
9.849,0,13,6.403,13,14,6.083,8,3,6.325,15,7,0,0,0,0,0,0,0,2
9.487,0,12,5,12,13,7.071,8,2,6.708,15,6,0,0,0,0,0,0,0,2
9.487,0,12,5,12,13,7.071,8,2,6.708,15,6,0,0,0,0,0,0,0,2
12.728,0,0,4.472,11,13,7.28,7,2,5.831,14,6,0,0,0,0,1,0,1,2
12.728,0,0,3.606,11,12,1,8,9,6.403,14,5,0,0,0,1,0,1,0,2
12.728,0,0,3.606,11,12,1,8,9,6.403,14,5,0,0,0,1,1,0,1,2
12.728,0,0,3.162,10,12,2,7,9,5.657,13,5,0,0,0,0,1,1,1,2
12.728,0,0,3.162,10,12,2,7,9,5.657,13,5,0,0,0,0,1,1,1,2
12.728,0,0,3.162,10,12,2,7,9,5.657,13,5,0,0,0,0,1,1,1,2
3,9,12,8.062,17,10,3,6,9,5,12,5,0,0,0,0,1,1,1,2
2,9,11,8,17,9,1,8,9,5.831,12,4,0,0,0,0,0,1,0,2
2,9,11,8.062,17,10,1,8,9,5.831,12,4,0,0,0,0,0,0,0,2
1.414,8,10,7,16,9,2,7,9,6.325,11,3,0,0,0,1,0,0,0,2
1.414,8,10,7,16,9,2,7,9,6.325,11,3,0,0,0,1,0,0,0,2
1.414,8,10,7,16,9,2,7,9,6.325,11,3,0,0,0,1,1,0,0,2
1.414,8,10,6,15,9,3,6,9,6.083,10,3,0,0,0,1,1,1,0,2
1.414,8,10,6,15,9,3,6,9,6.083,10,3,0,0,0,1,1,1,0,2
1.414,8,10,5,14,9,3,6,9,6.083,10,3,0,0,0,1,1,1,0,2
2.236,7,10,4,13,9,4,5,9,6,15,9,0,0,0,1,1,1,1,2
2.236,7,10,4,13,9,4,5,9,6,15,9,0,0,0,1,1,1,1,2
