@RELATION P1BotAgent-freq_1-1803_120855-training

  @ATTRIBUTE timeSpent NUMERIC
  @ATTRIBUTE timeLeft NUMERIC
  @ATTRIBUTE intermediateReward NUMERIC
  @ATTRIBUTE intermediateRewardWonLastTick NUMERIC
  @ATTRIBUTE intermediateRewardWonLast6Ticks NUMERIC
  @ATTRIBUTE intermediaRewardPredicted6 NUMERIC
  @ATTRIBUTE intermediaRewardPredicted12 NUMERIC
  @ATTRIBUTE intermediaRewardPredicted24 NUMERIC
  @ATTRIBUTE nearestEnemyLeftDistance NUMERIC
  @ATTRIBUTE nearestEnemyLef_X NUMERIC
  @ATTRIBUTE nearestEnemyLeft_Y NUMERIC
  @ATTRIBUTE nearestEnemyRightDistance NUMERIC
  @ATTRIBUTE nearestEnemyRight_X NUMERIC
  @ATTRIBUTE nearestEnemyRight_Y NUMERIC
  @ATTRIBUTE nearestBlockLeftDistance NUMERIC
  @ATTRIBUTE nearestBlockLeft_X NUMERIC
  @ATTRIBUTE nearestBlockLeft_Y NUMERIC
  @ATTRIBUTE nearestBlockRightDistance NUMERIC
  @ATTRIBUTE nearestBlockRight_X NUMERIC
  @ATTRIBUTE nearestBlockRight_Y NUMERIC
  @ATTRIBUTE nearestCoinLeftDistance NUMERIC
  @ATTRIBUTE nearestCoinLeft_X NUMERIC
  @ATTRIBUTE nearestCoinLeft_Y NUMERIC
  @ATTRIBUTE nearestCoinRightDistance NUMERIC
  @ATTRIBUTE nearestCoinRight_X NUMERIC
  @ATTRIBUTE nearestCoinRight_Y NUMERIC
  @ATTRIBUTE enemyNearRight {0, 1}
  @ATTRIBUTE blockNearRight {0, 1}
  @ATTRIBUTE enemyAheadOnFloorHeight {0, 1}
  @ATTRIBUTE blockAheadOnFloorHeight {0, 1}
  @ATTRIBUTE isMarioOnGround {0, 1}
  @ATTRIBUTE isMarioAbleToJump {0, 1}
  @ATTRIBUTE isMarioAbleToShoot {0, 1}
  @ATTRIBUTE isMarioCarrying {0, 1}
  @ATTRIBUTE enemyWasKilledBin {0, 1}
  @ATTRIBUTE marioWasInjuredBin {0, 1}
  @ATTRIBUTE isSlopeDown {0, 1}
  @ATTRIBUTE coinsGainedLastTick NUMERIC
  @ATTRIBUTE marioMode NUMERIC
  @ATTRIBUTE marioStatus NUMERIC
  @ATTRIBUTE actionKey {0, 1, 2, 3}

@DATA
3,197,-1,0,0,-1,-1,-1,5.831,4,12,12.728,18,18,12.728,0,0,12.728,18,18,12.728,0,0,12.728,18,18,0,0,0,0,0,0,1,0,0,0,0,0,2,2,2
3,196,-1,0,0,-1,-1,-1,5.385,4,11,12.728,18,18,12.728,0,0,12.728,18,18,12.728,0,0,12.728,18,18,0,0,0,0,0,0,1,0,0,0,0,0,2,2,2
3,196,-1,0,0,-1,-1,-1,5.385,4,11,12.728,18,18,12.728,0,0,12.728,18,18,12.728,0,0,12.728,18,18,0,0,0,0,0,0,1,0,0,0,0,0,2,2,2
3,196,-1,0,0,-1,-1,-1,5.385,4,11,12.728,18,18,12.728,0,0,12.728,18,18,12.728,0,0,12.728,18,18,0,0,0,0,0,0,1,0,0,0,0,0,2,2,2
3,196,-1,0,0,-1,-1,-1,5.099,4,10,12.728,18,18,12.728,0,0,3.000,12,9,12.728,0,0,12.728,18,18,0,0,0,1,0,0,1,0,0,0,0,0,2,2,2
3,196,-1,0,0,-1,-1,-1,5.099,4,10,12.728,18,18,12.728,0,0,3.000,12,9,12.728,0,0,12.728,18,18,0,0,0,1,0,0,1,0,0,0,0,0,2,2,2
3,196,-1,0,0,-1,-1,-1,7.071,2,10,12.728,18,18,12.728,0,0,2.000,11,9,12.728,0,0,12.728,18,18,0,1,0,1,1,0,1,0,0,0,0,0,2,2,2
3,196,-1,0,0,-1,-1,-1,7.071,2,10,12.728,18,18,12.728,0,0,2.000,11,9,12.728,0,0,12.728,18,18,0,1,0,1,1,1,1,0,0,0,0,0,2,2,2
3,196,-1,0,0,-1,-1,-1,7.071,2,10,12.728,18,18,12.728,0,0,2.000,11,9,12.728,0,0,12.728,18,18,0,1,0,1,0,0,1,0,0,0,0,0,2,2,3
3,196,-1,0,0,-1,-1,-1,7.280,2,11,12.728,18,18,12.728,0,0,9.000,18,9,12.728,0,0,12.728,18,18,0,0,0,1,0,0,1,0,0,0,0,0,2,2,3
3,196,-1,0,0,-1,-1,-1,8.544,1,12,12.728,18,18,12.728,0,0,12.728,18,18,12.728,0,0,12.728,18,18,0,0,0,0,0,0,1,0,0,0,0,0,2,2,3
3,196,-1,0,0,-1,-1,-1,8.544,1,12,9.000,18,9,12.728,0,0,12.728,18,18,12.728,0,0,12.728,18,18,0,0,0,0,0,0,1,0,0,0,0,0,2,2,2
3,196,-1,0,0,-1,-1,-1,8.944,1,13,9.055,18,10,12.728,0,0,12.728,18,18,12.728,0,0,12.728,18,18,0,0,0,0,0,0,1,0,0,0,0,0,2,2,2
3,196,-1,0,0,-1,-1,-1,9.487,0,12,8.000,17,9,12.728,0,0,12.728,18,18,12.728,0,0,12.728,18,18,0,0,0,0,0,0,1,0,0,0,0,0,2,2,2
4,196,-1,0,0,-1,-1,-1,9.487,0,12,8.000,17,9,12.728,0,0,12.728,18,18,12.728,0,0,12.728,18,18,0,0,0,0,0,0,1,0,0,0,0,0,2,2,2
4,196,-1,0,0,-1,-1,-1,12.728,0,0,8.000,17,9,12.728,0,0,12.728,18,18,12.728,0,0,12.728,18,18,0,0,0,0,0,0,1,0,0,0,0,0,2,2,2
4,195,-1,0,0,-1,-1,-1,12.728,0,0,7.071,16,8,12.728,0,0,6.000,15,9,12.728,0,0,12.728,18,18,0,0,0,0,0,0,1,0,0,0,0,0,2,2,2
4,195,-1,0,0,-1,-1,-1,12.728,0,0,7.071,16,8,12.728,0,0,6.000,15,9,12.728,0,0,12.728,18,18,0,0,0,0,0,0,1,0,0,0,0,0,2,2,2
4,195,-1,0,0,-1,-1,-1,12.728,0,0,7.071,16,8,12.728,0,0,6.000,15,9,12.728,0,0,12.728,18,18,0,0,0,0,1,0,1,0,0,0,1,0,2,2,2
4,195,-1,0,0,-1,-1,-1,12.728,0,0,7.071,16,8,12.728,0,0,6.000,15,9,12.728,0,0,12.728,18,18,0,0,0,0,1,1,1,0,0,0,1,0,2,2,2
4,195,-1,0,0,-1,-1,-1,12.728,0,0,5.385,14,7,1.000,8,9,5.000,14,9,12.728,0,0,9.487,18,6,0,0,0,1,0,1,1,0,0,0,0,0,2,2,2
4,195,-1,0,0,-1,-1,-1,12.728,0,0,5.385,14,7,1.000,8,9,5.000,14,9,12.728,0,0,9.487,18,6,0,0,0,1,1,0,1,0,0,0,0,0,2,2,2
4,195,-1,0,0,-1,-1,-1,12.728,0,0,5.385,14,7,1.000,8,9,5.000,14,9,12.728,0,0,9.487,18,6,0,0,0,1,1,1,1,0,0,0,0,0,2,2,2
4,195,-1,0,0,-1,-1,-1,12.728,0,0,4.472,13,7,2.000,7,9,4.000,13,9,12.728,0,0,8.544,17,6,0,0,0,1,1,1,1,0,0,0,0,0,2,2,2
4,195,-1,0,0,-1,-1,-1,12.728,0,0,4.472,13,7,2.000,7,9,4.000,13,9,12.728,0,0,8.544,17,6,0,0,0,1,1,1,1,0,0,0,0,0,2,2,2
4,195,-1,0,0,-1,-1,-1,12.728,0,0,4.472,13,7,2.000,7,9,4.000,13,9,12.728,0,0,8.544,17,6,0,0,0,1,1,1,1,0,0,0,0,0,2,2,2
